path	line	column	diagnostic
src/ra/rules.h	47	7	constructor does not initialize these fields: IsBuildSlowdown, IsWallDestroyer, IsContentScan
src/ra/scenario.cc	185	1	constructor does not initialize these fields: Waypoint, ScenarioName, Description, BriefingText, GlobalFlags, Views, bLocalProposesDraw, bOtherProposesDraw
src/ra/search.h	566	5	uninitialized record type: 'fake'
src/ra/search.h	648	3	uninitialized record type: 'node'
src/ra/seditdlg.cc	44	1	constructor does not initialize these fields: szEdit, szEdit2
src/ra/session.cc	169	1	constructor does not initialize these fields: Options, Handle, DesiredFrameRate, ProcessTimer, ProcessTicks, ProcessFrames, ScenarioFileName, ScenarioDigest, ScenarioFileLength, ScenarioIsOfficial, ScenarioRequests, RequestCount, LastMessage, Score, GamesPlayed, NumScores, Winner, CurGame, GameName, GPacket, GPacketlen, MetaPacket, SerialDefaults, TrapObject
src/ra/session.cc	1013	3	uninitialized record type: 'state'
src/ra/session.cc	1364	1	constructor does not initialize these fields: ScenarioDescription, Filename, Digest, IsOfficial, IsExpansion
src/ra/session.h	269	16	constructor does not initialize these fields: Name, Game, Player, Chat
src/ra/shapebtn.cc	67	1	constructor does not initialize these fields: ShapeData
src/ra/shapebtn.cc	94	1	constructor does not initialize these fields: ShapeData
src/ra/sidebar.cc	1002	1	constructor does not initialize these fields: LastSlid, Buildables
src/ra/sidebar.h	121	5	constructor does not initialize these fields: X, Y, ID, IsToRedraw, IsBuilding, IsScrollingDown, IsScrolling, Flasher, TopIndex, Scroller, Slid, LastSlid, BuildableCount, Buildables
src/ra/slider.cc	75	1	constructor does not initialize these fields: Thumb, ThumbSize, ThumbStart
src/ra/startup.cc	212	5	uninitialized record type: 'wfd'
src/ra/taction.h	129	3	constructor does not initialize these fields: Data
src/ra/target.cc	92	1	constructor does not initialize these bases: xTargetClass
src/ra/target.cc	94	1	constructor does not initialize these bases: xTargetClass
src/ra/target.cc	103	1	constructor does not initialize these bases: xTargetClass
src/ra/target.cc	112	1	constructor does not initialize these bases: xTargetClass
src/ra/target.h	236	3	constructor does not initialize these bases: xTargetClass
src/ra/target.h	237	3	constructor does not initialize these bases: xTargetClass
src/ra/target.h	241	3	constructor does not initialize these bases: xTargetClass
src/ra/teamtype.cc	201	1	constructor does not initialize these fields: MissionList
src/ra/tevent.h	156	3	constructor does not initialize these fields: Data
src/ra/tevent.h	157	3	constructor does not initialize these fields: Data
src/ra/tooltip.cc	47	1	constructor does not initialize these fields: szTip, iLastIconListIndex, bLastShowNoText, xLastShow, yLastShow, wLastShow
src/ra/version.cc	101	1	constructor does not initialize these fields: VersionName, VersionText
src/ra/vortex.cc	116	1	constructor does not initialize these fields: Position, AnimateDir, AnimateFrame, Animate, State, VortexRemapTables, LightningRemap, StartShutdown, StartHiding, Hidden, LastAttackFrame, ZapFrame, TargetObject, TargetDistance, HiddenFrame, XDir, YDir, DesiredXDir, DesiredYDir
src/ra/weapon.cc	82	1	constructor does not initialize these fields: IsTurboBoosted
src/ra/wol_cgam.cc	59	3	uninitialized record type: 'cgiReturn'
src/ra/wol_chat.cc	1288	5	uninitialized record type: 'CreateGameInfo'
src/ra/wol_gsup.cc	156	1	constructor does not initialize these fields: d_dialog_w, d_dialog_h, d_dialog_x, d_dialog_y, d_dialog_cx, d_txt6_h, d_margin1, d_house_w, d_house_h, d_house_x, d_house_y, d_color_w, d_color_h, d_color_x, d_color_y, d_playerlist_w, d_playerlist_h, d_playerlist_x, d_playerlist_y, d_scenariolist_w, d_scenariolist_h, d_scenariolist_x, d_scenariolist_y, d_gamekind_w, d_gamekind_h, d_gamekind_x, d_gamekind_y, d_count_w, d_count_h, d_count_x, d_count_y, d_level_w, d_level_h, d_level_x, d_level_y, d_credits_w, d_credits_h, d_credits_x, d_credits_y, d_aiplayers_w, d_aiplayers_h, d_aiplayers_x, d_aiplayers_y, d_options_w, d_options_h, d_options_x, d_options_y, d_disc_w, d_disc_h, d_disc_x, d_disc_y, d_send_w, d_send_h, d_send_x, d_send_y, d_ok_w, d_ok_h, d_ok_x, d_ok_y, d_cancel_w, d_cancel_h, d_cancel_x, d_cancel_y, d_accept_w, d_accept_h, d_accept_x, d_accept_y, d_amunits_w, d_amunits_h, d_amunits_x, d_amunits_y, d_action_w, d_action_h, d_action_x, d_action_y, commands, szSendBuffer, pTextBtnOk, szHouseBuffer, GParamsLastSent, dwTimeNextParamRefresh, bProcess, ResultReturn, szNameOfHostWhoJustBailedOnUs, bRequestedScenarioDownload, szTriggerGameStartInfo, timeToolTipAppear, bAftermathUnits, bSlowUnitBuildRate, display
src/ra/wol_gsup.cc	2415	3	uninitialized record type: 'GParamsNow'
src/ra/wol_main.cc	218	7	uninitialized record type: 'wfd'
